Курс биткоина по отношению к доллару
21.03.2021	57.046,9	58.097,4	58.583,8	56.747,0	75,13K	-1,80%
20.03.2021	58.093,4	58.084,1	59.882,1	57.863,0	67,83K	0,01%
19.03.2021	58.088,0	57.645,0	59.448,3	56.305,1	83,98K	0,75%
18.03.2021	57.656,0	58.911,8	60.088,0	57.099,6	102,62K	-2,13%
17.03.2021	58.913,5	56.892,9	58.933,2	54.253,2	118,26K	3,56%
16.03.2021	56.889,7	55.619,5	56.889,7	53.342,6	128,51K	1,97%
15.03.2021	55.791,3	59.117,4	60.565,9	55.088,8	117,71K	-5,62%
14.03.2021	59.113,7	61.192,7	61.673,7	59.113,7	80,29K	-3,40%
13.03.2021	61.195,3	57.267,4	61.795,8	56.118,8	134,64K	6,86%
12.03.2021	57.265,1	57.806,2	58.052,3	55.134,5	116,96K	-0,92%
11.03.2021	57.799,5	55.851,2	58.135,0	54.351,8	129,63K	3,49%
10.03.2021	55.851,9	54.882,7	57.328,7	53.073,6	140,96K	1,77%
09.03.2021	54.879,0	52.352,4	54.880,6	51.941,3	114,06K	4,91%
08.03.2021	52.311,0	50.988,9	52.384,9	49.338,1	68,14K	2,61%
07.03.2021	50.982,3	48.899,0	51.434,1	48.890,6	82,91K	4,35%
06.03.2021	48.855,6	48.798,7	49.191,8	47.132,8	66,66K	0,13%
05.03.2021	48.792,5	48.363,6	49.429,4	46.370,1	113,64K	0,75%
04.03.2021	48.428,0	50.388,0	51.757,7	47.521,8	9,56K	-3,90%
03.03.2021	50.395,1	48.422,2	52.567,9	48.159,2	44,93K	4,07%
02.03.2021	48.424,2	49.595,6	50.191,9	47.100,6	102,10K	-2,36%
01.03.2021	49.595,5	45.160,5	49.774,0	45.008,8	137,52K	9,81%
28.02.2021	45.164,0	46.136,0	46.582,0	43.100,6	135,08K	-2,11%
27.02.2021	46.136,7	46.333,1	48.335,1	45.059,4	98,75K	-0,45%
26.02.2021	46.345,6	46.928,5	48.413,9	44.248,2	189,41K	-1,24%
25.02.2021	46.928,5	49.695,9	52.013,8	46.773,7	83,22K	-5,57%
24.02.2021	49.697,5	48.911,1	51.311,8	47.031,7	153,75K	1,61%
23.02.2021	48.911,2	54.114,1	54.115,0	45.093,8	315,07K	-9,61%
22.02.2021	54.111,8	57.437,6	57.480,8	48.353,8	244,95K	-5,78%
21.02.2021	57.433,8	55.907,6	58.335,1	55.502,7	87,26K	2,70%
Максимум: 61.795,8	Минимум: 43.100,6	Разница: 18.695,3	Среднее: 53.141,3	Изм. %: 2,0
